Open_time,Open_price,High_price,Low_price,Close_price,Volume,Close_time,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume
1693180800000,26101.78000000,26105.00000000,25872.05000000,25963.02000000,5714.74716000,1693202399999,148609676.93723360,125103,2459.39264000,63950367.35750360
1693202400000,25963.01000000,26004.00000000,25864.50000000,26000.99000000,4435.50168000,1693223999999,115057288.16981280,111246,2314.65067000,60048357.35380750
1693224000000,26000.99000000,26253.99000000,25991.44000000,26141.79000000,7687.00032000,1693245599999,200908419.98345160,163132,3921.50238000,102493857.71804300
1693245600000,26141.79000000,26178.83000000,25918.00000000,26120.00000000,4855.37739000,1693267199999,126433554.08607200,123576,2216.85980000,57733591.36408540
1693267200000,26120.00000000,26206.24000000,26032.07000000,26065.15000000,5339.28346000,1693288799999,139324093.54878270,99640,2694.03844000,70311364.38758620
1693288800000,26065.15000000,26065.16000000,25922.00000000,25975.55000000,5310.25989000,1693310399999,138028592.38703160,118615,2383.12393000,61942214.05278750
1693310400000,25975.54000000,28142.85000000,25964.79000000,27892.07000000,51471.30790000,1693331999999,1408976377.13332710,704151,26846.39757000,734669951.73805600
1693332000000,27892.08000000,28020.73000000,27532.79000000,27716.34000000,12131.14363000,1693353599999,336996987.68933770,214677,6021.99077000,167320502.20303660
1693353600000,27716.34000000,27768.57000000,27280.99000000,27469.04000000,9013.17772000,1693375199999,247844806.05454890,152199,4137.46000000,113749655.95710900
1693375200000,27469.05000000,27499.00000000,27310.05000000,27338.51000000,6125.57353000,1693396799999,167932117.17848660,133161,2989.71585000,81959509.24962800
1693396800000,27338.52000000,27464.45000000,27017.24000000,27167.98000000,15387.77382000,1693418399999,419214083.14498610,282337,7444.75560000,202814915.34623830
1693418400000,27167.97000000,27337.78000000,27100.00000000,27299.99000000,4921.73341000,1693439999999,134095444.78450410,122595,2143.64567000,58402329.17675670
1693440000000,27299.99000000,27303.36000000,27178.88000000,27251.29000000,3136.53649000,1693461599999,85392198.81478190,96512,1439.37390000,39187990.27340240
1693461600000,27251.29000000,27587.51000000,27184.99000000,27303.96000000,7316.68757000,1693483199999,199816284.76382530,163717,3463.22352000,94593527.56246340
1693483200000,27303.95000000,27315.47000000,26133.94000000,26329.07000000,25029.67357000,1693504799999,669987578.07446290,401225,12251.96332000,327961424.38542840
1693504800000,26329.08000000,26387.32000000,25655.01000000,25940.78000000,15549.90638000,1693526399999,405177124.35860080,283236,7443.55323000,193964291.66360660
1693526400000,25940.77000000,26100.00000000,25931.11000000,26027.27000000,4788.52171000,1693547999999,124638304.90546560,109473,2497.48788000,64995270.25663900
1693548000000,26027.26000000,26072.34000000,25957.37000000,26047.49000000,5038.60771000,1693569599999,131058202.54227740,129818,2351.36854000,61159180.22819680
1693569600000,26047.50000000,26156.00000000,25333.75000000,25478.86000000,21950.72134000,1693591199999,565840477.17621020,415800,10472.91818000,270009829.29405430
1693591200000,25478.85000000,25937.42000000,25455.41000000,25805.05000000,9254.29980000,1693612799999,237907607.08579620,226088,4639.21570000,119265666.40428230
1693612800000,25805.04000000,25853.03000000,25752.47000000,25821.38000000,3438.78388000,1693634399999,88698080.63041320,121008,1744.65342000,45001335.90197170
1693634400000,25821.37000000,25860.00000000,25774.81000000,25813.54000000,3677.11214000,1693655999999,94915779.14462450,136247,1663.08729000,42927447.84084110
1693656000000,25813.55000000,25987.50000000,25785.64000000,25813.58000000,6019.37468000,1693677599999,155730491.99789140,191466,2793.49916000,72274373.28132990
1693677600000,25813.58000000,25907.09000000,25763.20000000,25869.51000000,3115.50628000,1693699199999,80468618.17393070,119007,1433.67429000,37031279.99790570
1693699200000,25869.52000000,25907.53000000,25826.29000000,25900.06000000,2282.76557000,1693720799999,59053693.24298730,80069,1218.83639000,31529942.53416540
1693720800000,25900.06000000,25956.30000000,25877.30000000,25943.38000000,3851.53921000,1693742399999,99826788.69388030,105802,2180.63935000,56521461.30430930
1693742400000,25943.39000000,26085.01000000,25800.00000000,25888.00000000,6196.50171000,1693763999999,160523999.19690890,168705,2606.17869000,67532651.12697890
1693764000000,25887.99000000,26135.00000000,25882.27000000,25971.21000000,5143.67018000,1693785599999,133696208.96833120,141836,2577.51055000,66997481.06139310
1693785600000,25971.21000000,26108.02000000,25877.66000000,25934.44000000,3892.23919000,1693807199999,101087614.19437620,122033,1867.28325000,48501670.15749360
1693807200000,25934.44000000,26011.24000000,25865.57000000,25892.49000000,4567.91000000,1693828799999,118513381.12249740,123320,2112.82334000,54821631.25597700
1693828800000,25892.49000000,25966.80000000,25717.04000000,25907.48000000,7366.03890000,1693850399999,190387170.42408620,198361,3363.56648000,86934434.21503200
1693850400000,25907.47000000,25948.15000000,25631.21000000,25826.02000000,5951.40800000,1693871999999,153544724.82903950,153116,2833.69553000,73108147.80105300
1693872000000,25826.03000000,25844.48000000,25562.62000000,25733.31000000,4639.38847000,1693893599999,119280296.47892100,126215,2101.24270000,54015620.66691900
1693893600000,25733.31000000,25812.09000000,25654.00000000,25783.68000000,4769.14969000,1693915199999,122738316.71189430,129808,2379.70933000,61251237.25266070
1693915200000,25783.69000000,25915.49000000,25625.03000000,25749.08000000,8738.74851000,1693936799999,225132711.87669620,204828,4110.98583000,105917765.92801380
1693936800000,25749.09000000,25802.73000000,25675.00000000,25792.10000000,3176.10670000,1693958399999,81742382.53268900,105885,1334.72052000,34352414.61850220
1693958400000,25792.11000000,25870.51000000,25740.13000000,25746.55000000,2907.43778000,1693979999999,75001327.06545790,97325,1289.95653000,33279450.27711750
1693980000000,25746.55000000,25791.32000000,25715.16000000,25733.29000000,3775.30185000,1694001599999,97231035.42818150,114205,1424.85766000,36692657.67279770
1694001600000,25733.28000000,26040.00000000,25372.51000000,25860.01000000,13279.98759000,1694023199999,340698952.30453220,260841,6476.34690000,166210449.24279500
1694023200000,25860.00000000,25959.52000000,25588.00000000,25759.95000000,7299.79664000,1694044799999,187831866.00299610,163931,3545.54455000,91233887.59138570
1694044800000,25759.95000000,25850.00000000,25724.78000000,25788.92000000,2726.06226000,1694066399999,70277136.87226330,96580,1255.12295000,32355645.24076650
1694066400000,25788.91000000,25795.62000000,25691.07000000,25708.60000000,3156.04973000,1694087999999,81258777.76038320,104966,1268.40071000,32655225.59084110
1694088000000,25708.60000000,25976.66000000,25615.38000000,25931.18000000,8337.02580000,1694109599999,214924349.04390270,195991,4311.22488000,111155527.09505140
1694109600000,25931.19000000,26443.14000000,25836.76000000,26255.00000000,13468.35788000,1694131199999,352462745.23056910,234392,6671.44302000,174574926.36537830
1694131200000,26255.00000000,26445.50000000,26198.91000000,26239.43000000,7250.67253000,1694152799999,190634243.04819150,148381,3700.21737000,97286301.13077630
1694152800000,26239.44000000,26289.13000000,25647.26000000,25839.51000000,10085.99683000,1694174399999,261975110.29719970,211234,4491.77728000,116593868.49542710
1694174400000,25839.52000000,25955.00000000,25719.80000000,25829.01000000,7602.90979000,1694195999999,196548253.30154510,168063,4014.46740000,103785715.58515090
1694196000000,25829.01000000,25934.36000000,25766.21000000,25910.50000000,4060.18556000,1694217599999,105026930.46275600,119174,2032.43740000,52570959.22005330
1694217600000,25910.50000000,25910.50000000,25836.49000000,25844.92000000,2804.90781000,1694239199999,72575288.35079070,87437,1168.07267000,30221507.29498120
1694239200000,25844.92000000,25907.75000000,25844.92000000,25863.03000000,2416.76072000,1694260799999,62536548.82671670,86243,1086.03054000,28100921.26186170
1694260800000,25863.03000000,25945.09000000,25796.64000000,25879.00000000,3837.33295000,1694282399999,99273010.81043610,113952,1969.34071000,50950848.99920550
1694282400000,25879.01000000,25919.50000000,25845.70000000,25901.61000000,1921.62129000,1694303999999,49724625.81963480,71406,988.99957000,25590111.20683750
1694304000000,25901.60000000,25902.68000000,25750.35000000,25847.81000000,3447.81962000,1694325599999,89063614.25064260,113261,1454.07729000,37559720.02276370
1694325600000,25847.82000000,25873.96000000,25795.33000000,25795.33000000,2713.92437000,1694347199999,70132622.75656090,92133,1249.19356000,32282231.18198910
1694347200000,25795.33000000,25834.82000000,25650.00000000,25695.60000000,5237.31126000,1694368799999,134891437.36909370,136952,2280.43746000,58730185.04239160
1694368800000,25695.59000000,26033.66000000,25570.57000000,25841.61000000,7339.21389000,1694390399999,189489784.82923730,147427,3763.80241000,97180764.79320570
1694390400000,25841.60000000,25894.48000000,25652.78000000,25892.97000000,4285.91664000,1694411999999,110397374.43525010,115547,2115.65556000,54495023.20887250
1694412000000,25892.96000000,25900.69000000,25577.30000000,25601.27000000,7530.14468000,1694433599999,193735803.40814330,172274,3379.16280000,86935488.23551870
1694433600000,25601.27000000,25755.09000000,24951.00000000,25223.92000000,22187.37928000,1694455199999,560480465.73705120,401564,10619.90329000,268270481.71250470
1694455200000,25223.92000000,25227.96000000,24901.00000000,25162.52000000,7678.87940000,1694476799999,192758241.08926200,174753,3550.18078000,89120652.22832630
1694476800000,25162.53000000,25990.00000000,25131.48000000,25773.08000000,15730.14096000,1694498399999,403390395.07008410,280017,8057.66700000,206523715.43474320
1694498400000,25773.07000000,26331.38000000,25723.27000000,26098.99000000,16512.48377000,1694519999999,428847463.50899060,267457,8090.73605000,210162483.71250830
1694520000000,26098.98000000,26567.00000000,25892.42000000,25903.04000000,17253.80369000,1694541599999,451688795.60241990,331659,8283.31422000,216882654.73843410
1694541600000,25903.04000000,26265.98000000,25790.00000000,25840.10000000,6937.95695000,1694563199999,180466382.78016770,167923,3288.80103000,85578466.09302080
1694563200000,25840.10000000,25985.91000000,25764.17000000,25900.01000000,5580.82726000,1694584799999,144566459.16699660,123288,2789.38606000,72257641.66934170
1694584800000,25900.00000000,26247.79000000,25855.17000000,26198.41000000,8206.34034000,1694606399999,213786155.85341820,198797,4343.18352000,113135964.04910030
1694606400000,26198.41000000,26405.22000000,26016.22000000,26094.13000000,14240.64099000,1694627999999,373248748.99564800,282078,6592.13827000,172796720.07382160
1694628000000,26094.13000000,26305.46000000,26055.00000000,26222.00000000,3583.01894000,1694649599999,93836517.45269630,110717,1562.29253000,40909455.82850120
1694649600000,26222.00000000,26541.77000000,26126.77000000,26194.76000000,8804.84859000,1694671199999,231456352.83229190,187111,4483.93900000,117883998.88360010
1694671200000,26194.77000000,26489.50000000,26183.95000000,26446.15000000,6314.39050000,1694692799999,166249667.16912230,141045,3325.39641000,87544378.58361000
1694692800000,26446.15000000,26798.50000000,26342.08000000,26645.63000000,17348.43842000,1694714399999,461384222.96692180,316293,8798.68444000,234002561.00556710
1694714400000,26645.63000000,26860.49000000,26473.00000000,26522.73000000,5865.49499000,1694735999999,156177076.80468660,154829,2832.43482000,75432855.90561220
1694736000000,26522.73000000,26655.84000000,26448.19000000,26588.99000000,4216.46081000,1694757599999,112015337.41630100,122400,2099.73756000,55784618.37025700
1694757600000,26588.98000000,26690.00000000,26375.01000000,26425.16000000,6430.54269000,1694779199999,170847494.59624070,150804,2897.45027000,76991590.62631580
1694779200000,26425.17000000,26526.99000000,26224.00000000,26338.50000000,8301.35361000,1694800799999,218816192.08903420,197009,3881.13875000,102304435.50639930
1694800800000,26338.51000000,26888.00000000,26331.97000000,26600.00000000,7278.93658000,1694822399999,193524233.89886860,183881,3722.06457000,98965286.26374910
1694822400000,26599.99000000,26777.00000000,26515.00000000,26537.76000000,5024.58014000,1694843999999,133814263.32797840,156915,2362.47752000,62923476.26395140
1694844000000,26537.76000000,26581.98000000,26445.00000000,26524.09000000,3632.56107000,1694865599999,96295933.05543510,137990,1685.50990000,44682360.34994120
1694865600000,26524.08000000,26622.22000000,26481.87000000,26566.98000000,3296.17648000,1694887199999,87467000.42183020,136963,1552.32345000,41192680.89706000
