date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,0-6h,6-12h,12-18h,18-23h,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre
2023-08-28 00:00:00,26101.78,26105.0,25872.05,25963.02,5714.74716,148609676.9372336,125103,2459.39264,63950367.3575036,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-28 06:00:00,25963.01,26004.0,25864.5,26000.99,4435.50168,115057288.1698128,111246,2314.65067,60048357.3538075,0.1462464690163312,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-28 12:00:00,26000.99,26253.99,25991.44,26141.79,7687.00032,200908419.9834516,163132,3921.50238,102493857.718043,0.5415178422052414,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-28 18:00:00,26141.79,26178.83,25918.0,26120.0,4855.37739,126433554.086072,123576,2216.8598,57733591.3640854,-0.08335312922336247,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-29 00:00:00,26120.0,26206.24,26032.07,26065.15,5339.28346,139324093.5487827,99640,2694.03844,70311364.3875862,-0.20999234303215042,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-29 06:00:00,26065.15,26065.16,25922.0,25975.55,5310.25989,138028592.3870316,118615,2383.12393,61942214.0527875,-0.3437540163781949,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-29 12:00:00,25975.54,28142.85,25964.79,27892.07,51471.3079,1408976377.1333272,704151,26846.39757,734669951.738056,7.378169085928876,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-29 18:00:00,27892.08,28020.73,27532.79,27716.34,12131.14363,336996987.6893377,214677,6021.99077,167320502.2030366,-0.6300357054890515,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-30 00:00:00,27716.34,27768.57,27280.99,27469.04,9013.17772,247844806.0545489,152199,4137.46,113749655.957109,-0.8922534504916535,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2023-08-30 06:00:00,27469.05,27499.0,27310.05,27338.51,6125.57353,167932117.1784866,133161,2989.71585,81959509.249628,-0.4751895224587521,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
