date_utc,Open_price,High_price,Low_price,Close_price,Volume,Quote_volume,Nb_trades,Taker_buy_base_volume,Taker_buy_quote_volume,evolution_prct,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,janvier,fevrier,mars,avril,mai,juin,juillet,aout,septembre,octobre,novembre,decembre,RSI,EMA_14,MACD,MACD_Signal
2017-08-17,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206,3427,616.248541,2678216.40060401,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-18,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151,5233,972.86871,4129123.31651808,-4.123843662195337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-19,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151,2153,274.336042,1118001.87008735,0.7694048978061696,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-20,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646,2321,376.795947,1557401.3337373,-1.2968661684355842,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-21,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728,3972,557.356107,2255662.55315837,-1.7201422317065118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-22,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051,6494,423.995181,1637188.36934226,0.5976095617529875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-23,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968,8629,309.419092,1293567.09519463,1.8319306930693058,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-24,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476,6247,206.820412,868379.0641312,4.910051263852067,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-25,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327,6554,100.097974,434577.13574645,-0.8185801237717172,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-26,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321,2260,56.190141,241363.80050245,1.3259575581449523,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-27,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557,3670,101.651358,442442.17937215,-0.6324006787413627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-28,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953,4349,142.787782,612364.20611134,1.7791142015911587,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-29,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991,4159,143.442567,641982.02068658,4.577255288155757,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,
2017-08-30,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123,5551,196.062252,894620.23750883,-0.7049622014700718,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.94164204792357,4330.521168888291,,
2017-08-31,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184,4161,131.947325,614342.53390234,3.726559447130051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76.10633327400058,4383.103679703186,,
2017-09-01,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616,4000,118.660103,566254.43089734,2.3285198173925714,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79.09840527696572,4443.344522409428,,
2017-09-02,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817,7475,379.199863,1738334.08541735,-7.50313863132922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54.75204706329225,4447.1839194215045,,
2017-09-03,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181,6022,258.934536,1169644.69159694,0.8260027637775114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,56.229448470568116,4455.436730165304,,
